Entity,Code,2011,2024,Prevalence_Change,Percent_Change
Philippines,PHL,9.7,7.5,-2.1999999999999993,-22.680412371134015
Ghana,GHA,5.0,2.7,-2.3,-46.0
Namibia,NAM,7.8,5.3,-2.5,-32.05128205128205
Seychelles,SYC,12.1,9.3,-2.799999999999999,-23.14049586776859
Belarus,BLR,8.0,5.1,-2.9000000000000004,-36.25000000000001
Belize,BLZ,17.0,14.1,-2.9000000000000004,-17.058823529411768
United States Virgin Islands,VIR,12.1,9.1,-3.0,-24.793388429752067
Bahamas,BHS,12.1,8.9,-3.1999999999999993,-26.44628099173553
Jamaica,JAM,15.7,12.5,-3.1999999999999993,-20.382165605095537
Bolivia,BOL,6.6,3.4,-3.1999999999999997,-48.484848484848484
Solomon Islands,SLB,15.3,12.0,-3.3000000000000007,-21.568627450980397
Russia,RUS,9.7,5.9,-3.799999999999999,-39.17525773195876
Yemen,YEM,9.6,5.5,-4.1,-42.70833333333333
East Timor,TLS,7.5,3.2,-4.3,-57.333333333333336
Botswana,BWA,10.8,4.6,-6.200000000000001,-57.40740740740742
Lebanon,LBN,19.6,12.3,-7.300000000000001,-37.244897959183675
Aruba,ABW,12.4,4.6,-7.800000000000001,-62.903225806451616
Zimbabwe,ZWE,9.8,1.5,-8.3,-84.6938775510204
